Pattern ID,Pattern,MB Pattern Type,S,R1,a,C2,b,R1,c,C3,d,P,e,E1,C1
1,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_4167
2,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30089
3,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17814
4,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_53455
5,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17535
6,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_62346
7,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_4208
8,3,s r1 o r2 c2 (property chain),FAKEURI_0000001,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
9,3,s r1 o r2 c2 (property chain),NCBITaxon_1343173,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_7781
10,3,s r1 o r2 c2 (property chain),NCBITaxon_1343173,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_15864
11,3,s r1 o r2 c2 (property chain),FAKEURI_0000002,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_22868
12,3,s r1 o r2 c2 (property chain),FAKEURI_0000002,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_28834
13,3,s r1 o r2 c2 (property chain),FAKEURI_0000002,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16359
14,3,s r1 o r2 c2 (property chain),FAKEURI_0000002,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16755
15,3,s r1 o r2 c2 (property chain),FAKEURI_0000002,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_16325
16,3,s r1 o r2 c2 (property chain),NCBITaxon_729,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16113
17,3,s r1 o r2 c2 (property chain),NCBITaxon_729,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_176711
18,3,s r1 o r2 c2 (property chain),NCBITaxon_729,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_22868
19,3,s r1 o r2 c2 (property chain),NCBITaxon_729,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17272
20,3,s r1 o r2 c2 (property chain),NCBITaxon_853,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16113
21,3,s r1 o r2 c2 (property chain),NCBITaxon_853,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_22868
22,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_27994
23,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_166890
24,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17948
25,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_17276
26,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_15864
27,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_50202
28,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28412
29,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28499
30,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28527
31,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_16243
32,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_68352
33,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_30089
34,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17968
35,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,FAKEURI_0000198
36,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_41941
37,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_48400
38,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_18101
39,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_32980
40,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,FAKEURI_0000199
41,3,s r1 o r2 c2 (property chain),FAKEURI_0000003,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_16204
42,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_43355
43,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_82914
44,3,s r1 o r2 c2 (property chain),NCBITaxon_186803,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_17884
45,3,s r1 o r2 c2 (property chain),NCBITaxon_371143,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,RO_0002429,,RO_0004007,CHEBI_28197
46,3,s r1 o r2 c2 (property chain),NCBITaxon_371143,RO_0001025,o,UBERON_0004907,and,RO_0001025,some,NCBITaxon_9606,and,BFO_0000067,,RO_0002234,CHEBI_75842
